% function evaluation | noise-free fitness - Fopt (6,870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1,782901423e+01 +1,782901423e+01 +2,469901423e+01 +2,469901423e+01 +1,3837e+00 -9,9657e-01 +2,7535e+00 +4,5345e+00 -2,4376e-01 -7,1463e-01 +4,1306e+00 -1,9211e+00 -3,2138e+00 +4,4045e+00
3 +1,194469351e+01 +1,194469351e+01 +1,881469351e+01 +1,881469351e+01 -4,8396e+00 -2,2923e+00 +3,7240e+00 -1,4460e+00 +4,7782e+00 +4,8222e+00 +3,5585e+00 +2,7356e+00 +4,4881e+00 -1,4205e+00
7 +9,189552958e+00 +9,189552958e+00 +1,605955296e+01 +1,605955296e+01 -3,6229e+00 -1,7659e+00 +4,5335e+00 -1,4271e+00 -4,6522e+00 -1,2341e+00 +8,1896e-01 +2,0295e+00 -3,8531e+00 +2,1790e+00
8 +5,622366410e+00 +5,622366410e+00 +1,249236641e+01 +1,249236641e+01 +3,7818e+00 -4,7302e-01 -3,9484e+00 -2,3607e+00 -1,8392e+00 +2,7822e+00 -4,1165e+00 +2,6408e+00 -4,1635e+00 +2,9369e+00
138 +2,873706617e+00 +2,873706617e+00 +9,743706617e+00 +9,743706617e+00 +9,6259e-01 -3,6504e+00 -3,8890e+00 +3,5900e-01 -4,9417e+00 +1,3987e+00 -2,7199e+00 +1,0206e+00 +1,9053e+00 -2,4928e+00
484 +2,496976418e+00 +2,496976418e+00 +9,366976418e+00 +9,366976418e+00 +1,8014e+00 -4,2090e+00 -1,6390e+00 -2,6214e-01 +4,1473e+00 +1,2466e+00 -4,0220e+00 +1,4831e+00 +4,6333e+00 +7,1215e-01
3700 +1,316234382e+00 +1,316234382e+00 +8,186234382e+00 +8,186234382e+00 -3,3881e+00 +4,8337e+00 +3,3579e+00 +4,1706e+00 -4,9965e+00 +4,8832e+00 +1,4056e+00 +3,1072e+00 -9,8846e-01 -6,5959e-01
5664 +9,202005640e-01 +9,202005640e-01 +7,790200564e+00 +7,790200564e+00 -4,3695e+00 +1,8667e+00 +5,0504e-01 +4,1543e+00 -2,4986e+00 -1,6170e+00 -1,1066e+00 +1,0171e-01 -2,5495e+00 -2,4234e+00
6473 +5,672104675e-01 +5,672104675e-01 +7,437210467e+00 +7,437210467e+00 -4,3643e+00 +1,8741e+00 +5,1132e-01 +4,1514e+00 -2,4976e+00 -1,6251e+00 -1,1144e+00 +1,0211e-01 -2,5332e+00 -2,4186e+00
9673 +3,133673195e-01 +3,133673195e-01 +7,183367319e+00 +7,183367319e+00 -6,0361e-01 +2,1038e+00 +1,6078e+00 +2,7676e+00 -2,8220e+00 +2,4003e+00 -3,4793e-01 +3,2901e+00 -3,3079e+00 -3,7632e+00
19824 +2,452847257e-01 +2,452847257e-01 +7,115284726e+00 +7,115284726e+00 -6,0715e-01 +2,1100e+00 +1,6113e+00 +2,7686e+00 -2,8234e+00 +2,4054e+00 -3,4964e-01 +3,2978e+00 -3,3069e+00 -3,7703e+00
30743 +1,472738154e-01 +1,472738154e-01 +7,017273815e+00 +7,017273815e+00 -6,1141e-01 +2,1039e+00 +1,6124e+00 +2,7713e+00 -2,8305e+00 +2,4039e+00 -3,4211e-01 +3,2943e+00 -3,3042e+00 -3,7726e+00
46743 +8,557904754e-02 +8,557904754e-02 +6,955579048e+00 +6,955579048e+00 -4,3487e+00 +1,8814e+00 +5,0905e-01 +4,1355e+00 -2,5423e+00 -1,6565e+00 -1,1293e+00 +7,8855e-02 -2,5325e+00 -2,3988e+00
50180 +5,990481542e-02 +5,990481542e-02 +6,929904815e+00 +6,929904815e+00 -4,3464e+00 +1,8876e+00 +5,0960e-01 +4,1324e+00 -2,5428e+00 -1,6595e+00 -1,1350e+00 +8,3831e-02 -2,5283e+00 -2,3974e+00
151209 +3,282422572e-02 +3,282422572e-02 +6,902824226e+00 +6,902824226e+00 -4,3482e+00 +1,8892e+00 +5,1037e-01 +4,1318e+00 -2,5443e+00 -1,6626e+00 -1,1376e+00 +8,3874e-02 -2,5274e+00 -2,3983e+00
182447 +2,410497664e-02 +2,410497664e-02 +6,894104977e+00 +6,894104977e+00 -4,3489e+00 +1,8892e+00 +5,1070e-01 +4,1322e+00 -2,5437e+00 -1,6623e+00 -1,1377e+00 +8,4394e-02 -2,5279e+00 -2,3987e+00
