evaluations,population_size,fitness1,fitness2,fitness3,fitnessN
0,100,3,4,5,6
10,103,4,5,4,3
20,106,3,5,7,10
30,99,3,2,4,12
40,101,4,25,14,13
50,105,5,25,14,26
60,108,26,37,48,36
0,100,100,0e+00,-4e+01,-5e+01,-5e+01,-7e+01,-2e+01,-7e+01,-5e+01,-6e+01,-6e+01,-4e+01,-2e+01,-6e+01,-9e+01,-9e+01,-5e+01,-6e+01,-3e+01,-6e+01,-6e+01,-8e+01,-8e+01,-6e+01,-4e+01,-6e+01,-5e+01,-6e+01,-7e+01,-6e+01,-7e+01,-3e+01,-8e+01,-8e+01,-2e+01,-2e+01,-3e+01,-6e+01,-9e+01,-8e+01,-4e+01,-7e+01,-7e+01,-7e+01,-2e+01,-7e+01,-7e+01,-7e+01,-8e+01,-7e+01,-6e+01,-5e+01,-8e+01,-9e+01,-6e+01,-6e+01,-6e+01,-4e+01,-9e+01,-9e+01,-4e+01,-5e+01,-4e+01,-6e+01,-8e+01,-7e+01,-3e+01,-4e+01,-5e+01,-6e+01,-7e+01,-6e+01,-6e+01,-2e+01,-9e+01,-3e+01,-2e+01,-1e+02,-7e+01,-6e+01,-7e+01,-8e+01,-8e+01,-4e+01,-3e+01,-7e+01,-4e+01,-9e+01,-7e+01,-6e+01,-6e+01,-4e+01,-9e+01,-2e+01,-9e+01,-4e+01,-5e+01,-9e+01,-5e+01,-8e+01,-4e+01,-3e+01
1,400,500,0e+00,-4e+01,-5e+01,-5e+01,-7e+01,-2e+01,-7e+01,-5e+01,-6e+01,-6e+01,-4e+01,-2e+01,-6e+01,-9e+01,-9e+01,-5e+01,-6e+01,-3e+01,-6e+01,-6e+01,-8e+01,-8e+01,-6e+01,-4e+01,-6e+01,-5e+01,-6e+01,-7e+01,-6e+01,-7e+01,-3e+01,-8e+01,-8e+01,-2e+01,-2e+01,-3e+01,-6e+01,-9e+01,-8e+01,-4e+01,-7e+01,-7e+01,-7e+01,-2e+01,-7e+01,-7e+01,-7e+01,-8e+01,-7e+01,-6e+01,-5e+01,-8e+01,-9e+01,-6e+01,-6e+01,-6e+01,-4e+01,-9e+01,-9e+01,-4e+01,-5e+01,-4e+01,-6e+01,-8e+01,-7e+01,-3e+01,-4e+01,-5e+01,-6e+01,-7e+01,-6e+01,-6e+01,-2e+01,-9e+01,-3e+01,-2e+01,-1e+02,-7e+01,-6e+01,-7e+01,-8e+01,-8e+01,-4e+01,-3e+01,-7e+01,-4e+01,-9e+01,-7e+01,-6e+01,-6e+01,-4e+01,-9e+01,-2e+01,-9e+01,-4e+01,-5e+01,-9e+01,-5e+01,-8e+01,-4e+01,-3e+01,-8e+01,-5e+01,-1e+01,-7e+01,-1e+02,-6e+01,-4e+01,-3e+01,-4e+01,-9e+01,-6e+01,-3e+01,-3e+01,-7e+01,-5e+01,-4e+01,-9e+01,-3e+01,-3e+01,-3e+01,-3e+01,-3e+01,-3e+01,-9e+01,-6e+01,-7e+01,-6e+01,-5e+01,-6e+01,-1e+02,-3e+01,-5e+01,-8e+01,-8e+01,-6e+01,-9e+01,-6e+01,-6e+01,-4e+01,-1e+02,-6e+01,-7e+01,-7e+01,-6e+01,-1e+02,-9e+01,-7e+01,-2e+01,-5e+01,-6e+01,-7e+01,-6e+01,-7e+01,-8e+01,-4e+01,-7e+01,-7e+01,-7e+01,-8e+01,-5e+01,-6e+01,-6e+01,-8e+01,-3e+01,-1e+02,-6e+01,-2e+01,-5e+01,-4e+01,-5e+01,-9e+01,-9e+01,-6e+01,-3e+01,-6e+01,-5e+01,-5e+01,-3e+01,-5e+01,-4e+01,-7e+01,-7e+01,-6e+01,-6e+01,-6e+01,-6e+01,-9e+01,-6e+01,-4e+01,-8e+01,-7e+01,-7e+01,-7e+01,-5e+01,-8e+01,-4e+01,-4e+01,-5e+01,-6e+01,-2e+01,-4e+01,-7e+01,-5e+01,-3e+01,-1e+02,-5e+01,-6e+01,-6e+01,-4e+01,-4e+01,-9e+01,-3e+01,-1e+02,-4e+01,-5e+01,-8e+01,-4e+01,-5e+01,-3e+01,-9e+01,-4e+01,-4e+01,-9e+01,-6e+01,-8e+01,-5e+01,-4e+01,-5e+01,-3e+01,-6e+01,-7e+01,-6e+01,-5e+01,-7e+01,-6e+01,-3e+01,-4e+01,-4e+01,-4e+01,-9e+01,-6e+01,-5e+01,-6e+01,-6e+01,-1e+02,-3e+01,-6e+01,-8e+01,-6e+01,-9e+01,-1e+02,-5e+01,-7e+01,-4e+01,-8e+01,-6e+01,-5e+01,-7e+01,-6e+01,-8e+01,-8e+01,-7e+01,-5e+01,-6e+01,-3e+01,-6e+01,-6e+01,-2e+01,-2e+01,-5e+01,-5e+01,-2e+01,-4e+01,-5e+01,-8e+01,-5e+01,-5e+01,-7e+01,-8e+01,-5e+01,-7e+01,-7e+01,-6e+01,-7e+01,-5e+01,-7e+01,-9e+01,-7e+01,-5e+01,-9e+01,-6e+01,-4e+01,-8e+01,-4e+01,-4e+01,-5e+01,-6e+01,-5e+01,-8e+01,-4e+01,-7e+01,-8e+01,-7e+01,-4e+01,-3e+01,-7e+01,-5e+01,-4e+01,-4e+01,-5e+01,-6e+01,-5e+01,-8e+01,-1e+01,-1e+02,-4e+01,-3e+01,-3e+01,-5e+01,-4e+01,-6e+01,-5e+01,-7e+01,-7e+01,-6e+01,-6e+01,-4e+01,-5e+01,-6e+01,-6e+01,-7e+01,-6e+01,-6e+01,-4e+01,-8e+01,-8e+01,-9e+01,-6e+01,-8e+01,-5e+01,-8e+01,-4e+01,-6e+01,-7e+00,-9e+01,-5e+01,-8e+01,-4e+01,-8e+01,-6e+01,-7e+01,-6e+01,-6e+01,-4e+01,-4e+01,-8e+01,-9e+01,-3e+01,-8e+01,-6e+01,-9e+01,-8e+01,-7e+01,-8e+01,-7e+01,-6e+01,-4e+01,-5e+01,-4e+01,-8e+01,-2e+01,-3e+01,-1e+02,-7e+01,-4e+01,-7e+01,-8e+01,-5e+01,-6e+01,-3e+01,-8e+01,-8e+01,-6e+01,-9e+01,-6e+01,-9e+01,-6e+01,-8e+01,-6e+01,-1e+02,-5e+01,-6e+01,-3e+01,-1e+02,-6e+01,-5e+01,-3e+01,-5e+01,-8e+01,-7e+01,-4e+01,-6e+01,-5e+01,-6e+01,-4e+01,-7e+01,-4e+01,-5e+01,-9e+01,-5e+01,-2e+01,-7e+01,-6e+01,-6e+01,-6e+01,-4e+01,-4e+01,-3e+01,-6e+01,-4e+01,-7e+01,-6e+01,-7e+01,-6e+01,-4e+01,-8e+01,-8e+01,-3e+01,-8e+01,-2e+01,-8e+01,-7e+01,-8e+01,-8e+01,-6e+01,-4e+01,-6e+01,-9e+01,-6e+01,-7e+01,-5e+01,-4e+01,-4e+01,-1e+01,-6e+01,-8e+01,-2e+01,-5e+01,-4e+01,-6e+01,-8e+01,-5e+01,-3e+01,-8e+01,-6e+01,-4e+01,-1e+02,-5e+01,-5e+01,-7e+01,-7e+01,-8e+01,-5e+01,-4e+01,-7e+01,-7e+01,-7e+01,-8e+01,-3e+01,-7e+01,-7e+01,-8e+01,-4e+01,-5e+01,-3e+01,-5e+01,-7e+01,-4e+01,-8e+01,-4e+01,-5e+01,-1e+02,-5e+01,-6e+01,-4e+01,-6e+01,-8e+01,-2e+01,-8e+01,-5e+01,-6e+01,-3e+01,-5e+01,-8e+01,-9e+01,-2e+01,-6e+01,-8e+01,-9e+01,-5e+01
2,400,900,0e+00,-4e+01,-5e+01,-5e+01,-7e+01,-2e+01,-7e+01,-5e+01,-6e+01,-6e+01,-4e+01,-2e+01,-6e+01,-9e+01,-9e+01,-5e+01,-6e+01,-3e+01,-6e+01,-6e+01,-8e+01,-8e+01,-6e+01,-4e+01,-6e+01,-5e+01,-6e+01,-7e+01,-6e+01,-7e+01,-3e+01,-8e+01,-8e+01,-2e+01,-2e+01,-3e+01,-6e+01,-9e+01,-8e+01,-4e+01,-7e+01,-7e+01,-7e+01,-2e+01,-7e+01,-7e+01,-7e+01,-8e+01,-7e+01,-6e+01,-5e+01,-8e+01,-9e+01,-6e+01,-6e+01,-6e+01,-4e+01,-9e+01,-9e+01,-4e+01,-5e+01,-4e+01,-6e+01,-8e+01,-7e+01,-3e+01,-4e+01,-5e+01,-6e+01,-7e+01,-6e+01,-6e+01,-2e+01,-9e+01,-3e+01,-2e+01,-1e+02,-7e+01,-6e+01,-7e+01,-8e+01,-8e+01,-4e+01,-3e+01,-7e+01,-4e+01,-9e+01,-7e+01,-6e+01,-6e+01,-4e+01,-9e+01,-2e+01,-9e+01,-4e+01,-5e+01,-9e+01,-5e+01,-8e+01,-4e+01,-3e+01,-8e+01,-5e+01,-1e+01,-7e+01,-1e+02,-6e+01,-4e+01,-3e+01,-4e+01,-9e+01,-6e+01,-3e+01,-3e+01,-7e+01,-5e+01,-4e+01,-9e+01,-3e+01,-3e+01,-3e+01,-3e+01,-3e+01,-3e+01,-9e+01,-6e+01,-7e+01,-6e+01,-5e+01,-6e+01,-1e+02,-3e+01,-5e+01,-8e+01,-8e+01,-6e+01,-9e+01,-6e+01,-6e+01,-4e+01,-1e+02,-6e+01,-7e+01,-7e+01,-6e+01,-1e+02,-9e+01,-7e+01,-2e+01,-5e+01,-6e+01,-7e+01,-6e+01,-7e+01,-8e+01,-4e+01,-7e+01,-7e+01,-7e+01,-8e+01,-5e+01,-6e+01,-6e+01,-8e+01,-3e+01,-1e+02,-6e+01,-2e+01,-5e+01,-4e+01,-5e+01,-9e+01,-9e+01,-6e+01,-3e+01,-6e+01,-5e+01,-5e+01,-3e+01,-5e+01,-4e+01,-7e+01,-7e+01,-6e+01,-6e+01,-6e+01,-6e+01,-9e+01,-6e+01,-4e+01,-8e+01,-7e+01,-7e+01,-7e+01,-5e+01,-8e+01,-4e+01,-4e+01,-5e+01,-6e+01,-2e+01,-4e+01,-7e+01,-5e+01,-3e+01,-1e+02,-5e+01,-6e+01,-6e+01,-4e+01,-4e+01,-9e+01,-3e+01,-1e+02,-4e+01,-5e+01,-8e+01,-4e+01,-5e+01,-3e+01,-9e+01,-4e+01,-4e+01,-9e+01,-6e+01,-8e+01,-5e+01,-4e+01,-5e+01,-3e+01,-6e+01,-7e+01,-6e+01,-5e+01,-7e+01,-6e+01,-3e+01,-4e+01,-4e+01,-4e+01,-9e+01,-6e+01,-5e+01,-6e+01,-6e+01,-1e+02,-3e+01,-6e+01,-8e+01,-6e+01,-9e+01,-1e+02,-5e+01,-7e+01,-4e+01,-8e+01,-6e+01,-5e+01,-7e+01,-6e+01,-8e+01,-8e+01,-7e+01,-5e+01,-6e+01,-3e+01,-6e+01,-6e+01,-2e+01,-2e+01,-5e+01,-5e+01,-2e+01,-4e+01,-5e+01,-8e+01,-5e+01,-5e+01,-7e+01,-8e+01,-5e+01,-7e+01,-7e+01,-6e+01,-7e+01,-5e+01,-7e+01,-9e+01,-7e+01,-5e+01,-9e+01,-6e+01,-4e+01,-8e+01,-4e+01,-4e+01,-5e+01,-6e+01,-5e+01,-8e+01,-4e+01,-7e+01,-8e+01,-7e+01,-4e+01,-3e+01,-7e+01,-5e+01,-4e+01,-4e+01,-5e+01,-6e+01,-5e+01,-8e+01,-1e+01,-1e+02,-4e+01,-3e+01,-3e+01,-5e+01,-4e+01,-6e+01,-5e+01,-7e+01,-7e+01,-6e+01,-6e+01,-4e+01,-5e+01,-6e+01,-6e+01,-7e+01,-6e+01,-6e+01,-4e+01,-8e+01,-8e+01,-9e+01,-6e+01,-8e+01,-5e+01,-8e+01,-4e+01,-6e+01,-7e+00,-9e+01,-5e+01,-8e+01,-4e+01,-8e+01,-6e+01,-7e+01,-6e+01,-6e+01,-4e+01,-4e+01,-8e+01,-9e+01,-3e+01,-8e+01,-6e+01,-9e+01,-8e+01,-7e+01,-8e+01,-7e+01,-6e+01,-4e+01,-5e+01,-4e+01,-8e+01,-2e+01,-3e+01,-1e+02,-7e+01,-4e+01,-7e+01,-8e+01,-5e+01,-6e+01,-3e+01,-8e+01,-8e+01,-6e+01,-9e+01,-6e+01,-9e+01,-6e+01,-8e+01,-6e+01,-1e+02,-5e+01,-6e+01,-3e+01,-1e+02,-6e+01,-5e+01,-3e+01,-5e+01,-8e+01,-7e+01,-4e+01,-6e+01,-5e+01,-6e+01,-4e+01,-7e+01,-4e+01,-5e+01,-9e+01,-5e+01,-2e+01,-7e+01,-6e+01,-6e+01,-6e+01,-4e+01,-4e+01,-3e+01,-6e+01,-4e+01,-7e+01,-6e+01,-7e+01,-6e+01,-4e+01,-8e+01,-8e+01,-3e+01,-8e+01,-2e+01,-8e+01,-7e+01,-8e+01,-8e+01,-6e+01,-4e+01,-6e+01,-9e+01,-6e+01,-7e+01,-5e+01,-4e+01,-4e+01,-1e+01,-6e+01,-8e+01,-2e+01,-5e+01,-4e+01,-6e+01,-8e+01,-5e+01,-3e+01,-8e+01,-6e+01,-4e+01,-1e+02,-5e+01,-5e+01,-7e+01,-7e+01,-8e+01,-5e+01,-4e+01,-7e+01,-7e+01,-7e+01,-8e+01,-3e+01,-7e+01,-7e+01,-8e+01,-4e+01,-5e+01,-3e+01,-5e+01,-7e+01,-4e+01,-8e+01,-4e+01,-5e+01,-1e+02,-5e+01,-6e+01,-4e+01,-6e+01,-8e+01,-2e+01,-8e+01,-5e+01,-6e+01,-3e+01,-5e+01,-8e+01,-9e+01,-2e+01,-6e+01,-8e+01,-9e+01,-5e+01,-4e+01,-6e+01,-9e+01,-8e+01,-7e+01,-4e+01,-7e+01,-1e+02,-2e+01,-9e+01,-7e+01,-3e+01,-8e+01,-5e+01,-3e+01,-3e+01,-7e+01,-9e+01,-5e+01,-4e+01,-5e+01,-4e+01,-4e+01,-5e+01,-4e+01,-4e+01,-8e+01,-4e+01,-3e+01,-7e+01,-4e+01,-7e+01,-8e+01,-8e+01,-9e+01,-6e+01,-4e+01,-2e+01,-2e+01,-1e+02,-3e+01,-6e+01,-2e+01,-2e+01,-6e+01,-7e+01,-8e+01,-7e+01,-8e+01,-8e+01,-3e+01,-7e+01,-3e+01,-8e+01,-8e+01,-4e+01,-5e+01,-5e+01,-9e+01,-8e+01,-6e+01,-8e+01,-1e+02,-6e+01,-4e+01,-6e+01,-5e+01,-5e+01,-5e+01,-8e+01,-8e+01,-3e+01,-5e+01,-6e+01,-5e+01,-6e+01,-4e+01,-4e+01,-4e+01,-5e+01,-5e+01,-7e+01,-9e+00,-3e+01,-4e+01,-9e+01,-5e+01,-8e+01,-6e+01,-6e+01,-3e+01,-4e+01,-3e+01,-5e+01,-7e+01,-4e+01,-4e+01,-5e+01,-5e+01,-6e+01,-4e+01,-5e+01,-7e+01,-5e+01,-1e+02,-3e+01,-5e+01,-5e+01,-8e+01,-9e+01,-2e+01,-1e+02,-6e+01,-7e+01,-7e+01,-6e+01,-9e+01,-3e+01,-7e+01,-4e+01,-6e+01,-4e+01,-8e+01,-6e+01,-6e+01,-7e+01,-3e+01,-7e+01,-6e+01,-6e+01,-8e+01,-4e+01,-3e+01,-2e+01,-7e+01,-6e+01,-5e+01,-6e+01,-9e+01,-5e+01,-5e+01,-7e+01,-6e+01,-6e+01,-2e+01,-3e+01,-8e+01,-6e+01,-5e+01,-4e+01,-4e+01,-6e+01,-6e+01,-5e+01,-7e+01,-1e+02,-9e+01,-8e+01,-7e+01,-8e+01,-4e+01,-6e+01,-9e+01,-5e+01,-6e+01,-6e+01,-8e+01,-6e+01,-9e+01,-9e+01,-7e+01,-5e+01,-1e+02,-2e+01,-7e+01,-7e+01,-7e+01,-7e+01,-8e+01,-7e+01,-4e+01,-1e+02,-8e+01,-7e+01,-5e+01,-4e+01,-2e+01,-5e+01,-1e+02,-7e+01,-4e+01,-8e+01,-4e+01,-7e+01,-3e+01,-4e+01,-7e+01,-8e+01,-4e+01,-9e+01,-7e+01,-4e+01,-4e+01,-6e+01,-8e+01,-6e+01,-7e+01,-3e+01,-3e+01,-5e+01,-6e+01,-4e+01,-4e+01,-4e+01,-6e+01,-7e+01,-9e+01,-5e+01,-7e+01,-6e+01,-4e+01,-9e+01,-6e+01,-9e+01,-6e+01,-8e+01,-7e+01,-7e+01,-4e+01,-8e+01,-6e+01,-8e+01,-7e+01,-6e+01,-9e+01,-6e+01,-9e+01,-5e+01,-2e+01,-7e+01,-1e+02,-8e+01,-6e+01,-1e+02,-6e+01,-5e+01,-4e+01,-3e+01,-5e+01,-5e+01,-8e+01,-9e+01,-8e+01,-9e+01,-5e+01,-6e+01,-7e+01,-5e+01,-6e+01,-6e+01,-7e+01,-5e+01,-3e+01,-3e+01,-6e+01,-6e+01,-8e+01,-6e+01,-6e+01,-4e+01,-6e+01,-4e+01,-5e+01,-8e+01,-4e+01,-4e+01,-4e+01,-7e+01,-3e+01,-5e+01,-4e+01,-9e+01,-5e+01,-5e+01,-3e+01,-5e+01,-8e+01,-5e+01,-7e+01,-3e+01,-8e+01,-9e+01,-7e+01,-4e+01,-6e+01,-5e+00,-4e+01,-2e+01,-1e+02,-4e+01,-7e+01,-7e+01,-5e+01,-6e+01,-6e+01,-4e+01,-5e+01,-4e+01,-4e+01,-9e+01,-1e+02,-4e+01,-4e+01,-6e+01,-5e+01,-5e+01,-8e+01,-5e+01,-5e+01,-5e+01,-8e+01,-8e+01,-6e+01,-5e+01,-7e+01,-7e+01,-4e+01,-5e+01,-4e+01,-6e+01,-4e+01,-7e+01,-4e+01,-4e+01,-4e+01,-6e+01,-9e+01,-1e+02,-3e+01,-4e+01,-5e+01,-2e+01,-4e+00,-8e+01,-1e+02,-4e+01,-9e+01,-4e+01,-5e+01,-6e+01,-5e+01,-7e+01,-4e+01,-4e+01,-8e+01,-5e+01,-7e+01,-8e+01,-3e+01,-2e+01,-6e+01,-4e+01,-2e+01,-5e+01,-4e+01,-8e+01,-1e+02,-4e+01,-7e+01,-4e+01,-2e+01,-7e+01,-6e+01,-6e+01,-4e+01,-8e+01,-1e+02,-4e+01,-5e+01,-5e+01,-5e+01,-7e+01,-7e+01,-8e+01,-4e+01,-3e+01,-4e+01,-5e+01,-5e+01,-6e+01,-7e+01,-4e+01,-3e+01,-7e+01,-4e+01,-3e+01,-6e+01,-8e+01,-5e+01,-6e+01
